apn,shape_area,category,year_built,class,county,unknown,place_name
"013640163",92100,Existing,1999,storage warehouse,San Bernardino County,"0",San Bernardino
"013636139",1172400,Existing,2013,distribution warehouse,San Bernardino County,"0",San Bernardino
"013640111",228500,Existing,2017,distribution warehouse,San Bernardino County,"0",San Bernardino
"013640161",51200,Existing,1998,storage warehouse,San Bernardino County,"0",San Bernardino
"013601165",134500,Existing,2023,storage warehouse,San Bernardino County,"0",San Bernardino
"013601146",51100,Existing,1980,storage warehouse,San Bernardino County,"0",San Bernardino
"013614118",56300,Existing,1980,distribution warehouse,San Bernardino County,"0",San Bernardino
"013613245",55700,Existing,1980,storage warehouse,San Bernardino County,"0",San Bernardino
"013633117",224200,Existing,2007,light industrial,San Bernardino County,"0",San Bernardino
"013639144",358300,Existing,2005,distribution warehouse,San Bernardino County,"0",San Bernardino
"013612243",75200,Existing,1980,storage warehouse,San Bernardino County,"0",San Bernardino
"013634184",2159000,Existing,2005,distribution warehouse,San Bernardino County,"0",San Bernardino
"013634186",392700,Existing,2017,distribution warehouse,San Bernardino County,"0",San Bernardino
"013634188",2441400,Existing,2002,distribution warehouse,San Bernardino County,"0",San Bernardino
"013618247",168500,Existing,2022,storage warehouse,San Bernardino County,"0",San Bernardino
"013637144",2020600,Existing,2022,distribution warehouse,San Bernardino County,"0",San Bernardino
"013638119",198100,Existing,2007,light industrial,San Bernardino County,"0",San Bernardino
"013612290",54200,Existing,1980,distribution warehouse,San Bernardino County,"0",San Bernardino
"013614129",58600,Existing,2024,storage warehouse,San Bernardino County,"0",San Bernardino
"013638109",359400,Existing,2005,light industrial,San Bernardino County,"0",San Bernardino
"013634185",445200,Existing,2017,distribution warehouse,San Bernardino County,"0",San Bernardino
"013634165",2528800,Existing,2004,distribution warehouse,San Bernardino County,"0",San Bernardino
"013634187",1014100,Existing,2018,distribution warehouse,San Bernardino County,"0",San Bernardino
"013639122",380000,Existing,1981,storage warehouse,San Bernardino County,"0",San Bernardino
"013610134",162400,Existing,1980,light industrial,San Bernardino County,"0",San Bernardino
"013639144",1029500,Existing,2005,distribution warehouse,San Bernardino County,"0",San Bernardino
"013627147",86900,Existing,1980,transit warehouse (truck terminal),San Bernardino County,"0",San Bernardino
"013719107",52400,Existing,1980,storage warehouse,San Bernardino County,"0",San Bernardino
"013824126",1237900,Existing,2001,transit warehouse (truck terminal),San Bernardino County,"0",San Bernardino
"013831268",51200,Existing,2021,storage warehouse,San Bernardino County,"0",San Bernardino
"013821103",200500,Existing,1980,light industrial,San Bernardino County,"1",San Bernardino
"013831139",161000,Existing,1980,light industrial,San Bernardino County,"0",San Bernardino
"013908142",251400,Existing,1980,light industrial,San Bernardino County,"0",San Bernardino
"014107184",179200,Existing,1980,distribution warehouse,San Bernardino County,"0",San Bernardino
"014107109",75000,Existing,1980,storage warehouse,San Bernardino County,"0",San Bernardino
"014101108",93800,Existing,1980,storage warehouse,San Bernardino County,"0",San Bernardino
"014107183",78100,Existing,1980,storage warehouse,San Bernardino County,"0",San Bernardino
"014102102",547300,Existing,2002,storage building,San Bernardino County,"0",San Bernardino
"014107157",126500,Existing,1980,storage warehouse,San Bernardino County,"0",San Bernardino
"014139208",453400,Existing,1985,distribution warehouse,San Bernardino County,"0",San Bernardino
"014134112",75100,Existing,1980,distribution warehouse,San Bernardino County,"0",San Bernardino
"014139109",309100,Existing,2013,storage warehouse,San Bernardino County,"0",San Bernardino
"014132135",205100,Existing,1990,distribution warehouse,San Bernardino County,"0",San Bernardino
"014134115",108400,Existing,1990,storage warehouse,San Bernardino County,"0",San Bernardino
"014134111",75600,Existing,1980,transit warehouse (truck terminal),San Bernardino County,"0",San Bernardino
"014132136",51300,Existing,1990,distribution warehouse,San Bernardino County,"0",San Bernardino
"014129125",101400,Existing,1988,storage warehouse,San Bernardino County,"0",San Bernardino
